ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,Truth
Harold The Red Ale,Black Husky Brewing,American Amber / Red Ale,- ,Off the Rail Raybuck Red Ale,Off the Rail Brewing,Amber Ale,6.40 % ,0
Harold The Red Ale,Black Husky Brewing,American Amber / Red Ale,- ,Off the Rail Raybuck Red Ale,Off the Rail Brewing,Amber Ale,6.40 % ,0
Harold The Red Ale,Black Husky Brewing,American Amber / Red Ale,- ,Off the Rail Raybuck Red Ale,Off the Rail Brewing,Amber Ale,6.40 % ,0
Harold The Red Ale,Black Husky Brewing,American Amber / Red Ale,- ,Off the Rail Raybuck Red Ale,Off the Rail Brewing,Amber Ale,6.40 % ,0
Bourbon Barrel Aged Panama Red Ale,Flossmoor Station Restaurant & Brewery,American Amber / Red Ale,7.00 % ,AleSmith Old Numbskull - Bourbon Barrel Aged,AleSmith Brewing Company,Barley Wine,11 % ,0
The `` Ginger '' A Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,6.80 % ,The Beer Company Wyatt Earp Red Ale,The Beer Company,Irish Ale,7 % ,0
Harold The Red Ale,Black Husky Brewing,American Amber / Red Ale,- ,Off the Rail Raybuck Red Ale,Off the Rail Brewing,Amber Ale,6.40 % ,0
Bourbon Barrel Aged Panama Red Ale,Flossmoor Station Restaurant & Brewery,American Amber / Red Ale,7.00 % ,AleSmith Old Numbskull - Bourbon Barrel Aged,Barley_s Brewing Company,Barley Wine,11 % ,0
The `` Ginger '' A Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,6.80 % ,The Beer Company Wyatt Earp Red Ale,The Beer Company,Irish Ale,7 % ,0
The `` Ginger '' A Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,6.80 % ,The Beer Company Wyatt Earp Red Ale,The Beer Company,Irish Ale,7 % ,0
The `` Ginger '' A Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,6.80 % ,The Beer Company Wyatt Earp Red Ale,The Beer Company,Irish Ale,7 % ,0
The `` Ginger '' A Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,6.80 % ,The Beer Company Wyatt Earp Red Ale,The Beer Company,Irish Ale,7 % ,0
The `` Ginger '' A Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,6.80 % ,The Beer Company Wyatt Earp Red Ale,The Beer Company,Irish Ale,7 % ,0
Harold The Red Ale,Black Husky Brewing,American Amber / Red Ale,- ,Off the Rail Raybuck Red Ale,Off the Rail Brewing,Amber Ale,6.40 % ,0
Bourbon Barrel Aged Panama Red Ale,Flossmoor Station Restaurant & Brewery,American Amber / Red Ale,7.00 % ,AleSmith Old Numbskull - Bourbon Barrel Aged,AleSmith Brewing Company,Barley Wine,11 % ,0
Bourbon Barrel Aged Panama Red Ale,Flossmoor Station Restaurant & Brewery,American Amber / Red Ale,7.00 % ,AleSmith Old Numbskull - Bourbon Barrel Aged,AleSmith Brewing Company,Barley Wine,11 % ,0
The `` Ginger '' A Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,6.80 % ,The Beer Company Wyatt Earp Red Ale,The Beer Company,Irish Ale,7 % ,0
The `` Ginger '' A Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,6.80 % ,The Beer Company Wyatt Earp Red Ale,The Beer Company,Irish Ale,7 % ,0
The `` Ginger '' A Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,6.80 % ,The Beer Company Wyatt Earp Red Ale,The Beer Company,Irish Ale,7 % ,0
The `` Ginger '' A Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,6.80 % ,The Beer Company Wyatt Earp Red Ale,The Beer Company,Irish Ale,7 % ,0
The `` Ginger '' A Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,6.80 % ,The Beer Company Wyatt Earp Red Ale,The Beer Company,Irish Ale,7 % ,0
Harold The Red Ale,Black Husky Brewing,American Amber / Red Ale,- ,Off the Rail Raybuck Red Ale,Off the Rail Brewing,Amber Ale,6.40 % ,0
Harold The Red Ale,Black Husky Brewing,American Amber / Red Ale,- ,Off the Rail Raybuck Red Ale,Off the Rail Brewing,Amber Ale,6.40 % ,0
The `` Ginger '' A Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,6.80 % ,The Beer Company Wyatt Earp Red Ale,The Beer Company,Irish Ale,7 % ,0
Starlord 's Mixtape / Groot Drank Imperial Red Ale,Parallel 49 Brewing Company,American Amber / Red Ale,8.20 % ,Iron Horse Fresh Hop Imperial Red Ale,Iron Horse Brewery,Barley Wine,- ,0
Harold The Red Ale,Black Husky Brewing,American Amber / Red Ale,- ,Off the Rail Raybuck Red Ale,Off the Rail Brewing,Amber Ale,6.40 % ,0
Bourbon Barrel Aged Panama Red Ale,Flossmoor Station Restaurant & Brewery,American Amber / Red Ale,7.00 % ,AleSmith Old Numbskull - Bourbon Barrel Aged,AleSmith Brewing Company,Barley Wine,11 % ,0
Harold The Red Ale,Black Husky Brewing,American Amber / Red Ale,- ,Off the Rail Raybuck Red Ale,Off the Rail Brewing,Amber Ale,6.40 % ,0
The `` Ginger '' A Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,6.80 % ,The Beer Company Wyatt Earp Red Ale,The Beer Company,Irish Ale,7 % ,0
The `` Ginger '' A Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,6.80 % ,The Beer Company Wyatt Earp Red Ale,The Beer Company,Irish Ale,7 % ,0
Harold The Red Ale,Black Husky Brewing,American Amber / Red Ale,- ,Off the Rail Raybuck Red Ale,Off the Rail Brewing,Amber Ale,6.40 % ,0
Harold The Red Ale,Black Husky Brewing,American Amber / Red Ale,- ,Off the Rail Raybuck Red Ale,Off the Rail Brewing,Amber Ale,6.40 % ,0
The `` Ginger '' A Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,6.80 % ,The Beer Company Wyatt Earp Red Ale,The Beer Company,Irish Ale,7 % ,0
Harold The Red Ale,Black Husky Brewing,American Amber / Red Ale,- ,Off the Rail Raybuck Red Ale,Off the Rail Brewing,Amber Ale,6.40 % ,0
The `` Ginger '' A Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,6.80 % ,The Beer Company Wyatt Earp Red Ale,The Beer Company,Irish Ale,7 % ,0
Harold The Red Ale,Black Husky Brewing,American Amber / Red Ale,- ,Off the Rail Raybuck Red Ale,Off the Rail Brewing,Amber Ale,6.40 % ,0
Bourbon Barrel Aged Panama Red Ale,Flossmoor Station Restaurant & Brewery,American Amber / Red Ale,7.00 % ,AleSmith Old Numbskull - Bourbon Barrel Aged,AleSmith Brewing Company,Barley Wine,11 % ,0
Bourbon Barrel Aged Panama Red Ale,Flossmoor Station Restaurant & Brewery,American Amber / Red Ale,7.00 % ,AleSmith Old Numbskull - Bourbon Barrel Aged,AleSmith Brewing Company,Barley Wine,11 % ,0
Big Bear Amber Ale,Stewart 's Brewing Co. .,American Amber / Red Ale,- ,Off the Rail Raybuck Red Ale,Big Horn Brewing Company &#40; Ram International &#41;,Amber Ale,5.80 % ,0
Harold The Red Ale,Black Husky Brewing,American Amber / Red Ale,- ,Off the Rail Raybuck Red Ale,Off the Rail Brewing,Amber Ale,6.40 % ,0
Bourbon Barrel Aged Panama Red Ale,Flossmoor Station Restaurant & Brewery,American Amber / Red Ale,7.00 % ,AleSmith Old Numbskull - Bourbon Barrel Aged,AleSmith Brewing Company,Barley Wine,11 % ,0
The `` Ginger '' A Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,6.80 % ,The Beer Company Wyatt Earp Red Ale,The Beer Company,Irish Ale,7 % ,0
Bourbon Barrel Aged Panama Red Ale,Flossmoor Station Restaurant & Brewery,American Amber / Red Ale,7.00 % ,AleSmith Old Numbskull - Bourbon Barrel Aged,AleSmith Brewing Company,Barley Wine,11 % ,0
Harold The Red Ale,Black Husky Brewing,American Amber / Red Ale,- ,Off the Rail Raybuck Red Ale,Off the Rail Brewing,Amber Ale,6.40 % ,0
Harold The Red Ale,Black Husky Brewing,American Amber / Red Ale,- ,Off the Rail Raybuck Red Ale,Off the Rail Brewing,Amber Ale,6.40 % ,0
The `` Ginger '' A Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,6.80 % ,The Beer Company Wyatt Earp Red Ale,The Beer Company,Irish Ale,7 % ,0
The `` Ginger '' A Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,6.80 % ,The Beer Company Wyatt Earp Red Ale,The Beer Company,Irish Ale,7 % ,0
Harold The Red Ale,Black Husky Brewing,American Amber / Red Ale,- ,Off the Rail Raybuck Red Ale,Off the Rail Brewing,Amber Ale,6.40 % ,0
The `` Ginger '' A Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,6.80 % ,The Beer Company Wyatt Earp Red Ale,The Beer Company,Irish Ale,7 % ,0
Harold The Red Ale,Black Husky Brewing,American Amber / Red Ale,- ,Off the Rail Raybuck Red Ale,Off the Rail Brewing,Amber Ale,6.40 % ,0
The `` Ginger '' A Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,6.80 % ,The Beer Company Wyatt Earp Red Ale,The Beer Company,Irish Ale,7 % ,0
Bourbon Barrel Aged Panama Red Ale,Flossmoor Station Restaurant & Brewery,American Amber / Red Ale,7.00 % ,AleSmith Old Numbskull - Bourbon Barrel Aged,AleSmith Brewing Company,Barley Wine,11 % ,0
Harold The Red Ale,Black Husky Brewing,American Amber / Red Ale,- ,Off the Rail Raybuck Red Ale,Off the Rail Brewing,Amber Ale,6.40 % ,0
Harold The Red Ale,Black Husky Brewing,American Amber / Red Ale,- ,Off the Rail Raybuck Red Ale,Off the Rail Brewing,Amber Ale,6.40 % ,0
Bourbon Barrel Aged Panama Red Ale,Flossmoor Station Restaurant & Brewery,American Amber / Red Ale,7.00 % ,AleSmith Old Numbskull - Bourbon Barrel Aged,AleSmith Brewing Company,Barley Wine,11 % ,0
The `` Ginger '' A Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,6.80 % ,The Beer Company Wyatt Earp Red Ale,The Beer Company,Irish Ale,7 % ,0
The `` Ginger '' A Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,6.80 % ,The Beer Company Wyatt Earp Red Ale,The Beer Company,Irish Ale,7 % ,0
Harold The Red Ale,Black Husky Brewing,American Amber / Red Ale,- ,Off the Rail Raybuck Red Ale,Off the Rail Brewing,Amber Ale,6.40 % ,0
Harold The Red Ale,Black Husky Brewing,American Amber / Red Ale,- ,Off the Rail Raybuck Red Ale,Off the Rail Brewing,Amber Ale,6.40 % ,0
The `` Ginger '' A Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,6.80 % ,The Beer Company Wyatt Earp Red Ale,The Beer Company,Irish Ale,7 % ,0
The `` Ginger '' A Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,6.80 % ,The Beer Company Wyatt Earp Red Ale,The Beer Company,Irish Ale,7 % ,0
The `` Ginger '' A Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,6.80 % ,The Beer Company Wyatt Earp Red Ale,The Beer Company,Irish Ale,7 % ,0
Bourbon Barrel Aged Panama Red Ale,Flossmoor Station Restaurant & Brewery,American Amber / Red Ale,7.00 % ,AleSmith Old Numbskull - Bourbon Barrel Aged,AleSmith Brewing Company,Barley Wine,11 % ,0
Harold The Red Ale,Black Husky Brewing,American Amber / Red Ale,- ,Off the Rail Raybuck Red Ale,Off the Rail Brewing,Amber Ale,6.40 % ,0
Harold The Red Ale,Black Husky Brewing,American Amber / Red Ale,- ,Off the Rail Raybuck Red Ale,Off the Rail Brewing,Amber Ale,6.40 % ,0
Bourbon Barrel Aged Panama Red Ale,Flossmoor Station Restaurant & Brewery,American Amber / Red Ale,7.00 % ,AleSmith Old Numbskull - Bourbon Barrel Aged,AleSmith Brewing Company,Barley Wine,11 % ,0
Harold The Red Ale,Black Husky Brewing,American Amber / Red Ale,- ,Off the Rail Raybuck Red Ale,Off the Rail Brewing,Amber Ale,6.40 % ,0
Harold The Red Ale,Black Husky Brewing,American Amber / Red Ale,- ,Off the Rail Raybuck Red Ale,Off the Rail Brewing,Amber Ale,6.40 % ,0
The `` Ginger '' A Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,5.60 % ,The Beer Company Wyatt Earp Red Ale,The Beer Company,Irish Ale,7 % ,0
The `` Ginger '' A Red Ale,Elk Street Brewery & Tap Room,American Amber / Red Ale,6.80 % ,The Beer Company Wyatt Earp Red Ale,The Beer Company,Irish Ale,7 % ,0
Bourbon Barrel Aged Panama Red Ale,Flossmoor Station Restaurant & Brewery,American Amber / Red Ale,7.00 % ,AleSmith Old Numbskull - Bourbon Barrel Aged,AleSmith Brewing Company,Barley Wine,11 % ,0
